transaction_id,timestamp_sec,amount,mcc,mcc_risk_weight,is_decline,hour_of_day_sin,hour_of_day_cos,card_type,device_risk_score,velocity,geo_distance_km,card_age_days,failed_attempts_24h,user_agent_category,provisioning_channel,nfc_tap_latency_ms,bnpl_bureau_inquiries,raas_dispute_score,bopis_pickup_delay_min,is_fraud,attack_vector,fraud_subtype
TX_LEG_HN_000000,3.075085083268192,48.59,4121,0.35,0,0.0002,1.0,visa,0.5427,1.61,2887.26,2093.0,0,standard_browser,1,33.2,1,0.0584,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000000,68.81452090095195,23.02,5411,0.1,1,0.005,1.0,mastercard,0.244,1.07,11.59,66.0,0,standard_browser,0,47.9,0,0.0698,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000001,130.6313441838327,14.25,5812,0.15,0,0.0095,1.0,mastercard,0.1787,1.03,14.77,156.0,0,standard_browser,1,0.0,0,0.0593,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000002,133.1610282146265,24.91,5541,0.18,0,0.0097,1.0,visa,0.0577,2.1,29.38,580.0,0,standard_browser,0,0.0,0,0.0139,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000003,153.91233606590902,46.94,5812,0.15,0,0.0112,0.9999,mastercard,0.1127,1.87,6.52,70.0,0,standard_browser,0,0.0,1,0.0405,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000001,158.67186029802554,288.41,5311,0.4,0,0.0115,0.9999,mastercard,0.4791,1.37,2654.86,153.0,0,standard_browser,0,0.0,0,0.0946,0.0,1,legitimate_hard_negative,label_noise_undetected
TX_LEG_HN_000002,219.30112360878624,139.43,4121,0.35,0,0.0159,0.9999,visa,0.1197,1.34,5373.71,92.0,0,standard_browser,0,0.0,3,0.2137,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000004,235.90699522684844,13.98,5541,0.18,0,0.0172,0.9999,mastercard,0.3575,1.02,10.54,590.0,2,standard_browser,0,32.2,0,0.1006,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000003,262.37340972193624,82.44,5999,0.85,0,0.0191,0.9998,amex,0.3536,2.48,2787.93,159.0,0,standard_browser,0,0.0,0,0.0058,278.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000004,271.6428804149004,89.19,5812,0.15,0,0.0198,0.9998,mastercard,0.3132,1.23,7065.99,1150.0,0,standard_browser,0,0.0,0,0.1949,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000005,292.7388732447263,13.21,5812,0.15,0,0.0213,0.9998,amex,0.1188,1.61,10.19,1011.0,0,standard_browser,0,0.0,0,0.1106,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000006,303.4346742714753,49.89,5812,0.15,0,0.0221,0.9998,mastercard,0.1285,1.59,23.69,488.0,0,standard_browser,0,0.0,0,0.0046,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000007,339.8961206152151,30.48,4121,0.35,0,0.0247,0.9997,visa,0.01,1.93,7.57,733.0,0,standard_browser,0,0.0,0,0.0909,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000008,340.5659218651479,12.52,5411,0.1,0,0.0248,0.9997,mastercard,0.0887,0.84,16.24,814.0,0,standard_browser,1,29.8,0,0.0103,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000005,356.4102290042364,237.68,5311,0.4,0,0.0259,0.9997,visa,0.2297,0.79,3436.58,448.0,1,standard_browser,0,0.0,0,0.1219,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000006,368.5535593012197,341.89,5411,0.1,0,0.0268,0.9996,visa,0.3159,1.22,4637.79,283.0,0,standard_browser,0,0.0,1,0.1979,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_FRD_GHOST_000000,396.9286666904445,43.08,4121,0.35,0,0.0289,0.9996,mastercard,0.1878,3.01,45.38,148.0,0,standard_browser,1,878.0,0,0.0858,0.0,1,ghost_tap_nfc_relay,ghost_tap_nfc_relay
TX_LEG_STD_000009,398.96459493738234,23.63,5411,0.1,0,0.029,0.9996,visa,0.0592,1.43,18.69,125.0,0,standard_browser,1,0.0,0,0.0074,0.0,0,legitimate,legitimate_standard
TX_FRD_WALLET_000000,412.81053334728813,191.53,5812,0.15,1,0.03,0.9995,visa,0.6379,1.59,213.23,515.0,0,spoofed_mobile_browser,3,61.5,0,0.0763,0.0,1,wallet_push_provisioning_hijack,wallet_push_provisioning_hijack
TX_LEG_HN_000007,466.49810901838646,47.18,5311,0.4,0,0.0339,0.9994,mastercard,0.2562,1.85,3913.51,231.0,0,standard_browser,0,0.0,1,0.0342,0.0,0,legitimate_hard_negative,legitimate_hard_negative
