transaction_id,sender_account,receiver_account,amount,timestamp_sec,pass_through_delay_sec,is_fraud,attack_vector,mule_topology,sender_in_degree,sender_out_degree,receiver_in_degree,receiver_out_degree,receiver_mule_funnel_score
TX_GRAPH_002207,ACC_00988,ACC_00524,27.05,0.5903899701440452,55295.5430147595,0,legitimate_transfer,organic_commerce,5,9,8,15,8
TX_GRAPH_000334,ACC_00201,ACC_00414,17.57,0.9928148910187673,96709.61047096933,0,legitimate_transfer,organic_commerce,9,6,10,7,7
TX_GRAPH_001054,ACC_00870,ACC_00666,64.6,40.80964017976996,209100.04483317793,0,legitimate_transfer,organic_commerce,9,8,7,3,3
TX_GRAPH_002303,ACC_00221,ACC_00849,69.5,43.568128344842805,125223.06958493282,0,legitimate_transfer,organic_commerce,11,15,8,6,6
TX_GRAPH_000016,ACC_00790,ACC_00558,40.08,68.14565772050685,187181.63151721627,0,legitimate_transfer,organic_commerce,5,6,10,7,7
TX_GRAPH_001746,ACC_00612,ACC_00410,197.89,121.16352994003066,208088.55793675873,0,legitimate_transfer,organic_commerce,15,8,4,7,4
TX_GRAPH_000476,ACC_00027,ACC_00758,37.33,159.09848007547288,166037.4548845788,0,legitimate_transfer,organic_commerce,9,10,9,9,9
TX_GRAPH_003949,ACC_00537,ACC_00232,35.65,182.59920220184966,193054.98415965337,0,legitimate_transfer,organic_commerce,6,6,12,8,8
TX_GRAPH_003164,ACC_00151,ACC_00096,106.44,231.58609986876044,65793.44489598344,0,legitimate_transfer,organic_commerce,11,8,8,14,8
TX_HARDNEG_007320,ACC_00033,ACC_00273,4449.93,253.50454277074164,18.855148871986103,0,legitimate_merchant_settlement,legitimate_hard_negative,8,8,10,4,4
TX_GRAPH_003007,ACC_00075,ACC_00056,75.32,259.6370904217,186317.31003423568,0,legitimate_transfer,organic_commerce,7,5,7,5,5
TX_HARDNEG_006031,ACC_00670,ACC_00493,58.16,328.38305572535376,55.18874592917541,0,legitimate_instant_p2p,legitimate_hard_negative,5,13,5,8,5
TX_GRAPH_003068,ACC_00835,ACC_00248,66.15,333.67423805686514,181674.1551967494,0,legitimate_transfer,organic_commerce,9,5,13,3,3
TX_HARDNEG_005883,ACC_00302,ACC_00220,44.85,343.9792314406311,86.46631802680973,0,legitimate_instant_p2p,legitimate_hard_negative,13,8,13,2,2
TX_GRAPH_001382,ACC_00273,ACC_00179,56.76,365.11548223597504,65372.9618323344,0,legitimate_transfer,organic_commerce,10,4,8,11,8
TX_GRAPH_004915,ACC_00081,ACC_00769,110.65,595.5813933062952,114852.74431476755,0,legitimate_transfer,organic_commerce,5,5,9,9,9
TX_GRAPH_002432,ACC_00493,ACC_00353,310.39,625.2628051356232,139044.82459751805,0,legitimate_transfer,organic_commerce,5,8,8,3,3
